full_text,label,sentiment_score
sama raja harus saling hormat sultan kuta kartanusantara ing martadipura aji muhammad arifin tidak dapat undang upacara hari ulang tahun ke79 ri ibu kota nusantara ikn nusantara najam paser utara kalimantan timur sabtu 1782024,netral,0.0
presiden jokowi teken pp nomor 29 tahun 2024 salah satu atur soal beri insentif upa bebas bea oleh hak atas tanah bangunanan bphtb ibu kota nusantara ikn kalimantan timur kkn undip diponegoro kaskus pertalite jay idzes shella thailand,positif,0.4404
menteri kerja umum rumah rakyat juga rupa plt kepala otorita ibu kota nusantara oikn basuki hadimuljono pasti 1700 aparatur sipil nusantara asn tetap pindah ikn per september 2024 yanti beneran peandak aulia anies ritsuki,netral,0.0
pembangunanan ibu kota baru makin nyata pagi saya resmi plaza seremoni sumbu bangsa buah capai penting pembangunanan ikn sumbu bangsa ruang buka melambang harmonis hubung manusia tuhan alam sama,netral,0.0
tri hubung budi karya sumadi pasti bandara ibu kota nusantara ikn operasi september 2024 tepat rencana presiden joko widodo pindah ikn yanti ini beneran peandak aulia anies ritsuki,netral,0.0
sebeandam puncak ingat hari merdeka ke79 ri ajak pimpin lembaga nusantara unjung beberapa infrastruktur penting ikn sumbu bangsa simbol agam satu bangsa hingga istana garuda baru selesai bangun harap,netral,0.0
paskibraka pertama ibu kota nusantara bangga dong,netral,0.0
pagi ajak pak bas keliling ngopi salah satu embung ikn pak bas jelas detail proses pembangunanan manfaat baik tempat cadang air maupun pengaruhanyaa suhu udara kawasan inti ikn nanti banyak jenis tanam,netral,0.0
nyata abdul muhaimin iskandar kenal sebut nama cak imin yang nyinyir soal pembangunanan ibu kota nusantara ikn kini viral di media sosial mantan caandan wakil presiden sebut pernah lantang kata pembangunanan ikn hanya,netral,0.0
balik megah raya merdeka ibu kota nusantara ikn tak sedikit warga andakal tanya ganti rugi lahan gusur,netral,0.0
dilema hari ulang tahun ri 79 gadai ambisi nama ibukotapun rubah bukan ibukota indonesia ibu kota nusantara,netral,0.0
mana ribut pilkada sibuk nyaandan amp ngusung bacagubbupwalkot di ikn gak yang ribut pilkada gak yang sibuk nyaandan amp ngusung bacagubbupwalkot kata ikn ibu kota aneh,netral,0.0
keren bnget taman kusuma bangsa ibu kota nusantara ibu kota indonesia bner2 nusantara bnget monumen2 harga buat pahlawan bangsa tidak nuansa2 koandanial nya spt jakarta,netral,0.0
muka darat jakarta udh bawah muka laut pasti lama2 tenggelam itu ibu kota pindah ikn otak nya maju hrus bangga kerja di capai perintah skrg utk bangun ibu kota baru di ikn emx di rencana kan presiden2 sblm nya,netral,0.0
indonesias new capital nusantara is taking the country into the new century,netral,0.0
menteri panrb siap tahap pindah mungkin september 1700 orang pindah perintah rampung bagi infrastruktur ibu kota nusantara ikn kalimantan timur salah satu tower huni asn hankam,netral,0.0
menko polhukam istana ikn buat anak bangsa istana jakarta tinggal koandanial,netral,0.0
kilas dalam ibu kota nusantara pusat pentadbiran baharu indonesia istana garuda memang nampak hebat sangattak nafi ibu kota baharu indonesia capai andaas lebih 256 000 hektar sekitar empat kali ganda saiz kota jakarta tiga kali ganda,netral,0.0
perintah komitmen dukung kembang sepak bola nasional sedia fasilitas pada timnas ikn ini beberapa fasilitas pusat latih pasarsi sedang siap tengah lapang spesifikasi beda hampir rampung,netral,0.0
istana nusantara jakarta amp istana bogor betul tinggal koandanial belanda 2 bangunanan rebut korban darah amp nyawa pahlawan kaanda istana kampret nusantara ikn tidak urgen bangun hari ulang tahunang amp peras pajak rakyat jokowi anda itu dibayang2i dosa,netral,0.0
de facto 12 agustus 2024 ibu kota adalah nusantara kalimantan,netral,0.0
presiden joko widodo beandam siap alih ibu kota jakarta ikn najam paser utara kalimantan timur jokowi kata surat putus presiden keppres pindah ibu kota lihat kesiap lapang,netral,0.0
hasil kerja presiden joko widodo lama 10 tahun hasil bangun ikn hasil kerja anus basendiriedan 20172022 hasil jadi jakarta kota mesum kota anggur besar kota cuaca paling buruk kota paling ras jumlah demonstran,netral,0.0
presiden jokowi boyong sohor ibu kota nusantara ikn coba moles citra buruk ikn apa laku jokowi ingat pada dongeng hans charistian andersen raja telanjang,netral,0.0
polri komitmen terus awal bijak dukung pembangunanan wilayah kawasan ibu kota nusantara ikn ini pasti pembangunanan laksana tepat waktu wujud indonesia emas 2045 wujud generasi emas,netral,0.0
benar ibu kota nusantara ikn rakyat yusuf aziz,netral,0.0
ibu kota nusantara ikn rancang delapan prinsip utama jadi dasar pembangunanan tuju buah kota dunia semua salah satu prinsip utama desain sesuai kondisi alam,netral,0.0
hak usaha hgu ibu kota nusantara ikn obral 190 tahun tujuh turun masih lebih lama sekarang perintah obraandabral lahan untuk tarik investasi asing tidak perintah obral hak atas tanah investor asing,positif,0.7003
bila niat kalian ejek istana garuda ikn kalian bukan cuma ejek kalian ejek seniman nyoman nuarta rupa maestro seni patung andaandasan institut teknoandagi bandung itb beliau hasil integrasi nilainilai andahur,netral,0.0
perintah baru henti pembangunanan ibu kota nusantara ikn jadi kota hantu masa depan simak opini majalah tempo lengkap link ig story dukung jurnalisme independen tempo kalauik,netral,0.0
hari cipta momen sejarah pertama kali bendera duplikat sang merah putih teks prokalauamasi arak monas ibu kota nusantara ikn kirab adalah bagi ingat hari ulang tahun ke79 merdeka ri bagai elemen masyarakat libat masuk 180,netral,0.0
istana garuda ibu kota nusantara ikn nusantara kritik warganet rupa kelelawar cenderung timbul kesan suram i nyoman nuarta arsitek rancang desain istana garuda ikn,netral,0.0
pasti bangga sis n bro bisa punya ibu kota benerbener bangun nol hati penuh tekad besar masa depan indonesia ikn kelak jadi simbol bangga nasional cermin identitas kuat maju bangsa indonesia,netral,0.0
,netral,
tuju ibu kota pindah ikn ni biar susah demo kali,netral,0.0
kemarin bilang ikn 2 bulan spt jakarta arti aku bhw jakarta sbg role model pembangunanan sekarang bilang jakarta gak kayak jakarta sebeandamnya ari akang jalmi atawa keresek,netral,0.0
jokowi gagal paksa bandara ikn guna hadir serta upacara 17 agustus jakarta menteri pupr basuki hadimulyo serah gak ikut mau ambisi jokowi yang satu memang tidak semua bisa penuh,netral,0.0
otorita ibu kota nusantara ikn siap 60 aparatur sipil nusantara asn bagi alam kerja alam hidup lama nusantara asn yang tinggal ikn tidak milik ragu kkn undip diponegoro kaskus pertalite jay idzes shella thailand,netral,0.0
stlh ambisi jokowi upacara ikn selesai apa hasil 1 habis anggar rp 72 trilyun 2 habis anggar upacara rp 83 milyar 3 gedung garuda hitam tunduk 4 gelar istana nusantara jakarta bogor koandanial 5 gelar jakarta sbg kota feodal kok pulang,netral,0.0
jakarta streets have andang been used to contest amp challenge state power 74 98 2012 24 the symbolic amp political impact of demonstrations incandading yesterday will be greatly diminished however once national government moves to nusantara a city designed byfor the powerful,positif,0.4767
actually the ikn istana nusantara is a perfect encapasarulation of todays indonesia its tacky doesnt reflect the will of the people and poorly made due to corruption and nepotism also the negative space makes it andaok like a butt pooping where the president is supposed to be,positif,0.3612
hari saya kukuh 76 ajar jadi anggota pasu kibar bendera pusaka paskibraka tahun 2024 istana nusantara ibu kota nusantara ikn 76 ajar 38 provinsi akan tugas kibar bendera sang merah putih pertama kali ibu kota baru,netral,0.0
istana jakarta baubau koandanial kalau pribahasa sunda dipoyok dilebok hampir 10 thn sana istana di ikn baubau kroni koncoisme koandanial waris istana bebas dr utang ikn waris utang akan tanggung bangsa indonesia ratus tahun,netral,0.0
berangkat kalimantan timur pimpin apel hormat renung suci ikn malam sama ibu iriana joko widodo panglima tni kapolri menteri kait giat akan laksana taman kusuma bangsa esok hari akan hadir upacara,netral,0.0
turun bendera sang merah putih istana nusantara ikn istana merdeka jakarta tutup rangkai ingat hari merdeka ke79 ri upacara langsung lancar dua andakasi saya yakin semangat merdeka asa seandaruh peandasok negeri merdeka foto muchlis,netral,0.0
bung karno bung hatta ikn taman kusuma bangsa bangun bentuk hormat atas juang panjang pahlawan merdeka bukan memorial park taman juga fungsi ruang publik monumen monumen,netral,0.0
nusantara baru indonesia maju tanda awal tiga transisi besar indonesia sambut ibu kota baru ganti pimpin siap tuju indonesia emas 2045 hari untuk pertama kali sejarah upacara ingat detikdetik prokalauamasi rangka hari ulang tahun,netral,0.0
kakorlantas polri irjen pol dr drs aan suhanan laku kece kesiap personel kendara rangka aman jelang raya hari ulang tahun ke79 republik indonesia ibu kota nusantara ikn kalimantan timur banyak 898 personel,netral,0.0
hari saya resmi taman kusuma bangsa ikn hormat para pahlawan utama bung karno bung hatta taman adalah bagi penting kawasan beranda nusantara lengkap sayap lindung tiang bendera tiang bendera setinggi 79,netral,0.0
uji coba landas pacu bandara ibu kota nusantara ikn nusantara laku menteri hubung minggu 25 agustus 2024 uji coba lepas landas darat laku guna pesawat kalibrasi jenis king air tipe 200 pk cao uji coba jalan muandas lancar,netral,0.0
ibu kota nusantara lanjut ramah lingkung,netral,0.0
pindah jakarta hindar banjir eh tau ikn kalimantan kena banjir detik banjir dahsyat sapu kota sangga ikn kalimantan timur,netral,0.0
pertama kali kunjung ikn rasa andaar biasa udara sejuk pandang indah bangunanan konsep forest city tambah keren kota,netral,0.0
punya jiwa patriotisme justru bangga dg istana jakarta bogor lambang hasil usir jajah ikn balik usir rakyat sendiri bangun utang serah tanah ikn asing lama 190 tahun,netral,0.0
merdeka kita nikmat hari tak lepas jasa pahlawan apel hormat renung suci ikn beri hormat setinggitingginya atas korban tuandas suci demi nusa bangsa doa syukur hormat sembah,negatif,-0.5106
proses pembangunanan bandara ibu kota nusantara ikn terus kebut laku lancar pindah sekaligus rencana presiden joko widodo jokowi kantor proyek nila rp 466 triliun sebut yanti ini beneran peandak aulia anies ritsuki,netral,0.0
apresiasi desain sendiriissbelhotel nusantara selaras visi ikn forest city hotel milik 197 kamar jadwal selesai 15 bulan sendiriissbelhotel nusantara akan jadi salah satu ikon inap ikn dukung konsep,netral,0.0
hari letak batu pertama pembangunanan bank central asia bacaa ikn investasi tunjuk percaya bacaa ikn rupa investasi potensial saya ajak investor negeri untuk turut bangun ikn perintah komitmen,netral,0.0
ini lapang upacara ibu kota nusantara ikn letak najam paser utara kalimantan timur tahun 2024 jadi pertama kali jadi saksi raya hari ulang tahun merdeka republik indonesia ke79,netral,0.0
pagi saya sama jumlah menteri unjung embung ikn nikmat udara pagi bersih indeks kualitas udara ikn ada angka 6 50 tunjuk kualitas udara sangat baik juga unjung area sumbu bangsa simbol satu,netral,0.0
salah satu moda transportasi baru ramah lingkung ikn autonomous rail transit art trem otonom nusantara trem rupa bagi komitmen perintah terap transportasi bas energi hijau ikn trem bisa operasi siap,netral,0.0
jokowi bilang beandam siap alih ibu kota jakarta ikn pindah rumah ribet jangan gampang,netral,0.0
mewah tak jalan ampas merdeka masyarakat reporter fiona wiputri lapor najam paser utara kalimantan timur sabtu 1782024 andakasi tak jauh ibu kota nusantara ikn hari,netral,0.0
biaya pesawat ikn sd 16 juta terima kasih mukidov el bansos atas ide pindah ibukota duduk asli ikut rasa,netral,0.0
pembangunanan bandara vvip ibu kota nusantara landas pacu panjang 3000 meter terus kebut target selesai akhir tahun 2024 dapat berita tarik lain via whatsapp folandaw whatsapp channel liputan6 sini,netral,0.0
perintah laku jumlah giat ibu kota nusantara ikn september 2024 mulai laksana groundbreaking leta baru pertama ke8 proyek investor ikn sule tina toon hani blackberry gemini ahok mega anies,netral,0.0
patroli laku personel polda kaltim ibu kota nusantara ikn libat awas jaga ketat pasti aman tertib perhati bagai aspek mulai infrastruktur hingga potensi ganggu,netral,0.0
jokowi sebut ikn kanvas ukir masa depan tak semua nusantara mampu bangun ibu kota nol,netral,0.0
ikn tidak hubung perata kurang jawasentrisme ikn pindah andakasi sentral nkri jakarta buah komplek properti gedung kantor najam paser utara obrol merdeka,netral,0.0
electrizen pln sukses hadir pasok listrik andal hijau tanpa kedip panjang gelar upacara hari ulang tahun ke79 merdeka republik indonesia ibu kota nusantara,netral,0.0
menteri pupr henti seandaruh kunjung kawasan inti pusat perintah kipp ibu kota nusantara ikn lama minggu dapat berita tarik lain via whatsapp folandaw whatsapp channel liputan6 sini,netral,0.0
pembangunanan nusantara international convention center and hotel royal golden eagle rge ikn sangat penting sedia fasilitas ikn utama jelang ingat hari ulang tahun ke79 merdeka ri jumlah tamu undang ingat hari ulang tahun ri ke79 ikn jumlah 1300,netral,0.0
spanduk merah tulis indonesia is not for sale merdeka bentang jembatan pulau balang najam paser utara kalimantan timur sabtu 1782024 rupa aksi laku masyarakat gabung koalisi tanah rakyat sekitar teandak balikpapan,netral,0.0
tambang ilegal biar warga sekitar tambang makin miskin ibu kota nusantara ikn jaja investor juga laku lemah kpk 2019 tambah kasus korupasari makin rajalela korporasi beri karpet merah tambang pasir laut 28 provinsi,netral,0.0
pusat belanja ibu kota nusantara ikn spil sini,netral,0.0
keppres ikn nusantara beandam terbit jakarta tetap ibu kota nusantara,netral,0.0
