stemming,sentiment_score,sentiment
sama raja harus saling hormat sultan kuta kartanusantara ing martadipura aji muhammad arifin tidak dapat undang upacara hari ulang tahun ke79 ri ibu kota nusantara ikn nusantara najam paser utara kalimantan timur sabtu 1782024,0.0,netral
presiden jokowi teken pp nomor 29 tahun 2024 salah satu atur soal beri insentif upa bebas bea oleh hak atas tanah bangunanan bphtb ibu kota nusantara ikn kalimantan timur kkn undip diponegoro kaskus pertalite jay idzes shella thailand,0.4404,positif
menteri kerja umum rumah rakyat juga rupa plt kepala otorita ibu kota nusantara oikn basuki hadimuljono pasti 1700 aparatur sipil nusantara asn tetap pindah ikn per september 2024 yanti beneran peandak aulia anies ritsuki,0.0,netral
pembangunanan ibu kota baru makin nyata pagi saya resmi plaza seremoni sumbu bangsa buah capai penting pembangunanan ikn sumbu bangsa ruang buka melambang harmonis hubung manusia tuhan alam sama,0.0,netral
tri hubung budi karya sumadi pasti bandara ibu kota nusantara ikn operasi september 2024 tepat rencana presiden joko widodo pindah ikn yanti ini beneran peandak aulia anies ritsuki,0.0,netral
sebeandam puncak ingat hari merdeka ke79 ri ajak pimpin lembaga nusantara unjung beberapa infrastruktur penting ikn sumbu bangsa simbol agam satu bangsa hingga istana garuda baru selesai bangun harap,0.0,netral
paskibraka pertama ibu kota nusantara bangga dong,0.0,netral
pagi ajak pak bas keliling ngopi salah satu embung ikn pak bas jelas detail proses pembangunanan manfaat baik tempat cadang air maupun pengaruhanyaa suhu udara kawasan inti ikn nanti banyak jenis tanam,0.0,netral
nyata abdul muhaimin iskandar kenal sebut nama cak imin yang nyinyir soal pembangunanan ibu kota nusantara ikn kini viral di media sosial mantan caandan wakil presiden sebut pernah lantang kata pembangunanan ikn hanya,0.0,netral
balik megah raya merdeka ibu kota nusantara ikn tak sedikit warga andakal tanya ganti rugi lahan gusur,0.0,netral
dilema hari ulang tahun ri 79 gadai ambisi nama ibukotapun rubah bukan ibukota indonesia ibu kota nusantara,0.0,netral
mana ribut pilkada sibuk nyaandan amp ngusung bacagubbupwalkot di ikn gak yang ribut pilkada gak yang sibuk nyaandan amp ngusung bacagubbupwalkot kata ikn ibu kota aneh,0.0,netral
keren bnget taman kusuma bangsa ibu kota nusantara ibu kota indonesia bner2 nusantara bnget monumen2 harga buat pahlawan bangsa tidak nuansa2 koandanial nya spt jakarta,0.0,netral
muka darat jakarta udh bawah muka laut pasti lama2 tenggelam itu ibu kota pindah ikn otak nya maju hrus bangga kerja di capai perintah skrg utk bangun ibu kota baru di ikn emx di rencana kan presiden2 sblm nya,0.0,netral
indonesias new capital nusantara is taking the country into the new century,0.0,netral
menteri panrb siap tahap pindah mungkin september 1700 orang pindah perintah rampung bagi infrastruktur ibu kota nusantara ikn kalimantan timur salah satu tower huni asn hankam,0.0,netral
menko polhukam istana ikn buat anak bangsa istana jakarta tinggal koandanial,0.0,netral
kilas dalam ibu kota nusantara pusat pentadbiran baharu indonesia istana garuda memang nampak hebat sangattak nafi ibu kota baharu indonesia capai andaas lebih 256 000 hektar sekitar empat kali ganda saiz kota jakarta tiga kali ganda,0.0,netral
perintah komitmen dukung kembang sepak bola nasional sedia fasilitas pada timnas ikn ini beberapa fasilitas pusat latih pasarsi sedang siap tengah lapang spesifikasi beda hampir rampung,0.0,netral
istana nusantara jakarta amp istana bogor betul tinggal koandanial belanda 2 bangunanan rebut korban darah amp nyawa pahlawan kaanda istana kampret nusantara ikn tidak urgen bangun hari ulang tahunang amp peras pajak rakyat jokowi anda itu dibayang2i dosa,0.0,netral
de facto 12 agustus 2024 ibu kota adalah nusantara kalimantan,0.0,netral
presiden joko widodo beandam siap alih ibu kota jakarta ikn najam paser utara kalimantan timur jokowi kata surat putus presiden keppres pindah ibu kota lihat kesiap lapang,0.0,netral
